survey_id,site_code,survey_date,time_start,time_end,observer,code,common_name,distance,bird_count,observation_notes,seen,heard,direction,qccomment
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,MODO,Mourning Dove,FT,3,,True,False,W,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,RWBL,Red-winged Blackbird,FT,10,,True,False,SE,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,HOSP,House Sparrow,5-10,1,,True,False,S,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,GTGR,Great-tailed Grackle,FT,1,,True,False,W,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,MODO,Mourning Dove,FT,3,,True,False,W,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,MODO,Mourning Dove,5-10,1,,True,False,S,
120,AD-21,2000-08-18,06:05:00,06:20:00,BeRa,GTGR,Great-tailed Grackle,FT,3,,True,False,SE,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,EUST,European Starling,5-10,1,,True,False,E,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,GTGR,Great-tailed Grackle,FT,1,,True,False,E,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,MODO,Mourning Dove,FT,4,,True,False,NE,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,MODO,Mourning Dove,FT,9,,True,False,E,
124,AA-20,2000-08-18,06:50:00,07:05:00,BeRa,HOFI,House Finch,FT,5,,True,False,E,
